,min,max,mean,median,std
popularity,0.0,875.581298828125,21.492300033569336,12.92159366607666,31.816650390625
revenue,0.0,2787965087.0,82260638.65167603,19170001.0,162857100.94282982
runtime,0.0,338.0,106.87586212158203,103.0,22.611934661865234
vote_average,0.0,10.0,6.0921711921691895,6.199999809265137,1.1946121454238892
